WidgetName,leads,good_rate,closed_rate,bad_rate
w-302252-DebtReduction1-1DC-yellowarrow,49,0.24489795918367346,0.061224489795918366,0.1836734693877551
w-300250-DebtReduction1-1DC-CreditSolutions,77,0.23376623376623376,0.15584415584415584,0.06493506493506493
w-300250-DebtReduction1-1DC-white,6,0.16666666666666666,0.16666666666666666,0.0
w-300250-DebtReduction1-1DC,348,0.16091954022988506,0.09770114942528736,0.22988505747126436
w-300250-DebtReduction1-1DC-Head2,89,0.15730337078651685,0.12359550561797752,0.0898876404494382
w-300250-DebtReduction1-1DC-BlueMeter,92,0.15217391304347827,0.14130434782608695,0.043478260869565216
w-300250-DebtReduction1-2DC-BlueMeter,87,0.13793103448275862,0.06896551724137931,0.10344827586206896
w-302252-DebtReduction1-1DC-yellowarrow-blue,232,0.1336206896551724,0.06465517241379311,0.21120689655172414
w-302252-DebtReduction1-1DC-CreditSolutions,1054,0.12428842504743833,0.07210626185958255,0.16413662239089183
w-302252-DebtReduction1-1DC,272,0.11764705882352941,0.08455882352941177,0.13970588235294118
w-302252-DebtReduction1-1DC-yellowarrow-dark,135,0.1111111111111111,0.07407407407407407,0.18518518518518517
w-300250-DebtReduction1-2DC-CreditSolutions,75,0.10666666666666667,0.08,0.16
w-302252-DebtReduction1-1DC-white,430,0.10232558139534884,0.07209302325581396,0.16046511627906976
w-300250-DebtReduction1-1DC-Head3,75,0.06666666666666667,0.05333333333333334,0.09333333333333334
